Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
AVILABEACH_Nuc,25867,NUCLEAR,2323.0,696.9,0.0
FELLOWS_NG,25867,GAS,983.7,295.11,5.0791622585
COYOTE_NG,25867,GAS,1.0,0.3,6.396250455
SHAFTER_NG,25867,GAS,7.1,2.13,7.611561417
HANFORD_NG,25867,GAS,92.2,27.66,12.25199391
SANJOAQUIN_NG,25867,GAS,619.8,185.94,6.998227511333333
LEMOORE_NG,25867,GAS,98.0,29.4,11.27016384
KINGCITY_NG,25867,GAS,133.2,39.96,1.033457525
SELMA_NG,25867,GAS,36.2,10.86,9.818888055
FRESNO_NG,25867,GAS,121.0,36.3,10.70795185
MOSSLANDING_NG,25867,GAS,3102.0,930.6,7.22268343
LEBEC_NG,25867,GAS,779.0,233.7,7.336957991
EARLIMART_NG,25867,GAS,1.0,0.3,8.908219538
SANTAMARGARITA_NG,25867,GAS,1.1,0.33,9.177383592
SACRAMENTO_NG,25867,GAS,193.4,58.02,6.747045764
TEHACHAPI_NG,25867,GAS,6.6,1.98,11.19526535
TAFT_NG,25867,GAS,12.4,3.72,5.207665368
SALINAS_NG,25867,GAS,4.1,1.2299999999999998,6.899805737
GROVERBEACH_NG,25867,GAS,1.4,0.42,0.0
VALMY_C,25867,COAL,567.0,170.1,10.44031981
SANJOSE_NG,23060,GAS,50.9,15.27,8.009265121571428
MODESTO_NG,23060,GAS,422.5,126.75,8.852410525
RIPON_NG,23060,GAS,170.5,51.15,11.272698605
FREMONT_NG,23060,GAS,1.3,0.39,8.243672808
GILROY_NG,23060,GAS,130.0,39.0,7.417677701
KINGCITY_NG_3,23060,GAS,47.3,14.19,11.20888375
SUNNYVALE_NG,23060,GAS,1.1,0.33,8.582822086
STOCKTON_NG,23060,GAS,4.8,1.44,23.05970149
TURLOCK_NG,23060,GAS,350.40000000000003,105.12,4.1660247065
SHINGLESPRINGS_NG,20136,GAS,5.0,1.5,10.09964638
VACAVILLE_NG,20136,GAS,60.5,18.15,10.97215168
ELKGROVE_NG,20136,GAS,125.5,37.65,7.173792015
YUBACITY_NG_4,20136,GAS,192.8,57.84,7.627509944750001
MCCLELLAN_NG,20136,GAS,77.0,23.1,12.68838269
OROVILLE_NG,20136,GAS,7.7,2.31,5.483883824
ROSEVILLE_NG,20136,GAS,165.0,49.5,8.184159082
ROCKLIN_NG,20136,GAS,66.0,19.8,19.46704465
SACRAMENTO_NG_5,20136,GAS,173.9,52.17,8.03634245
VANNUYS_NG,25289,GAS,1.0,0.3,8.477616078
BAKERSFIELD_NG_6,25289,GAS,99.8,29.94,5.870947382
TAFT_NG_7,25289,GAS,102.3,30.69,6.424251836333333
NEWHALL_NG,25289,GAS,42.8,12.839999999999998,5.664759551
ARTESIA_NG,25289,GAS,5.5,1.65,5.193447841
RIALTO_NG,25289,GAS,1.4,0.42,5.58547503
BURBANK_NG,25289,GAS,450.5,135.15,8.984624995999999
NORWALK_NG,25289,GAS,59.8,17.939999999999998,12.29231686
SANTAMONICA_NG,25289,GAS,9.2,2.76,5.119297889
LOSANGELES_NG_8,25289,GAS,46.3,13.89,9.4332118125
OXNARD_NG,25289,GAS,1821.2,546.36,8.286163242999999
TUPMAN_NG,25289,GAS,669.6,200.88,2.8964796465
GOLETA_NG,25289,GAS,121.3,36.39,4.981885083333333
PASADENA_NG,25289,GAS,265.6,79.68,9.852579937
RANCHOCUCAMONGA_NG,25289,GAS,59.8,17.939999999999998,13.56365179
ONTARIO_NG,25289,GAS,49.8,14.939999999999998,10.232334
PLAYADELREY_NG,25289,GAS,1718.8,515.64,8.028535039
