bus_10001,bus_10022,bus_10025,bus_10033,bus_10035,bus_10093,bus_10228,bus_10525,bus_10558,bus_10570,bus_10600,bus_10677,bus_11014,bus_13000,bus_13366,bus_13420,bus_13446,bus_13499,bus_20000,bus_20007,bus_20026,bus_20136,bus_21121,bus_23054,bus_23060,bus_23263,bus_25160,bus_25289,bus_25439,bus_25598,bus_25675,bus_25714,bus_25867,bus_28078,bus_28122,bus_28365,bus_28667,bus_30001,bus_30220,bus_30221,bus_30369,bus_40001,bus_40003,bus_40004,bus_40006,bus_40007,bus_40008,bus_40050,bus_40595,bus_40602,bus_40691,bus_40840,bus_40884,bus_50000,bus_50007,bus_50024,bus_50196,bus_50316,bus_53000,bus_53002,bus_53012,bus_60000,bus_60003,bus_60577,bus_70000,bus_70016,bus_70063,bus_74001,bus_74053,bus_74104,bus_74132,bus_74235,bus_77001,bus_77173,bus_80007
0.0,73.6963,105.2961,0.0,0.0,244.5122,383.71540000000005,3.7786,30.8515,4.7722,0.0,63.499,1321.2311999999997,0.0,115.5777,0.0,263.3623,2711.0995,0.0,1.5799,41.8085,205.88539999999998,0.0,29.992399999999996,21.5732,0.0,0.0,0.7581,0.0,0.0,0.0,0.0,97.37189999999997,0.0,0.0,0.0,0.0,29.3244,155.1624,0.0,399.86449999999996,0.0,0.0,14.095600000000001,14.3748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3569,0.0,0.0,0.0,0.1906,0.0,0.0,0.0,0.1133,4.3949,45.7955,0.0,29.957700000000003,32.9599,37.4224,21.9466,102.9206,522.5776999999999,0.0,0.0,0.0018
0.0,73.6963,105.2961,0.0,0.0,244.5122,383.71540000000005,3.7786,30.8515,4.7722,0.0,63.499,1321.2311999999997,0.0,115.5777,0.0,263.3623,2711.0995,0.0,1.5799,41.8085,205.88539999999998,0.0,29.992399999999996,21.5732,0.0,0.0,0.7581,0.0,0.0,0.0,0.0,97.37189999999997,0.0,0.0,0.0,0.0,29.3244,155.1624,0.0,399.86449999999996,0.0,0.0,14.095600000000001,14.3748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3569,0.0,0.0,0.0,0.1906,0.0,0.0,0.0,0.1133,4.3949,45.7955,0.0,29.957700000000003,32.9599,37.4224,21.9466,102.9206,522.5776999999999,0.0,0.0,0.0018
0.0,73.6963,105.2961,0.0,0.0,244.5122,383.71540000000005,3.7786,30.8515,4.7722,0.0,63.499,1321.2311999999997,0.0,115.5777,0.0,263.3623,2711.0995,0.0,1.5799,41.8085,205.88539999999998,0.0,29.992399999999996,21.5732,0.0,0.0,0.7581,0.0,0.0,0.0,0.0,97.37189999999997,0.0,0.0,0.0,0.0,29.3244,155.1624,0.0,399.86449999999996,0.0,0.0,14.095600000000001,14.3748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3569,0.0,0.0,0.0,0.1906,0.0,0.0,0.0,0.1133,4.3949,45.7955,0.0,29.957700000000003,32.9599,37.4224,21.9466,102.9206,522.5776999999999,0.0,0.0,0.0018
0.0,73.6963,105.2961,0.0,0.0,244.5122,383.71540000000005,3.7786,30.8515,4.7722,0.0,63.499,1321.2311999999997,0.0,115.5777,0.0,263.3623,2711.0995,0.0,1.5799,41.8085,205.88539999999998,0.0,29.992399999999996,21.5732,0.0,0.0,0.7581,0.0,0.0,0.0,0.0,97.37189999999997,0.0,0.0,0.0,0.0,29.3244,155.1624,0.0,399.86449999999996,0.0,0.0,14.095600000000001,14.3748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3569,0.0,0.0,0.0,0.1906,0.0,0.0,0.0,0.1133,4.3949,45.7955,0.0,29.957700000000003,32.9599,37.4224,21.9466,102.9206,522.5776999999999,0.0,0.0,0.0018
0.0,73.6963,105.2961,0.0,0.0,244.5122,383.71540000000005,3.7786,30.8515,4.7722,0.0,63.499,1321.2311999999997,0.0,115.5777,0.0,263.3623,2711.0995,0.0,1.5799,41.8085,205.88539999999998,0.0,29.992399999999996,21.5732,0.0,0.0,0.7581,0.0,0.0,0.0,0.0,97.37189999999997,0.0,0.0,0.0,0.0,29.3244,155.1624,0.0,399.86449999999996,0.0,0.0,14.095600000000001,14.3748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3569,0.0,0.0,0.0,0.1906,0.0,0.0,0.0,0.1133,4.3949,45.7955,0.0,29.957700000000003,32.9599,37.4224,21.9466,102.9206,522.5776999999999,0.0,0.0,0.0018
0.0,73.6963,105.2961,0.0,0.0,244.5122,383.71540000000005,3.7786,30.8515,4.7722,0.0,63.499,1321.2311999999997,0.0,115.5777,0.0,263.3623,2711.0995,0.0,1.5799,41.8085,205.88539999999998,0.0,29.992399999999996,21.5732,0.0,0.0,0.7581,0.0,0.0,0.0,0.0,97.37189999999997,0.0,0.0,0.0,0.0,29.3244,155.1624,0.0,399.86449999999996,0.0,0.0,14.095600000000001,14.3748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3569,0.0,0.0,0.0,0.1906,0.0,0.0,0.0,0.1133,4.3949,45.7955,0.0,29.957700000000003,32.9599,37.4224,21.9466,102.9206,522.5776999999999,0.0,0.0,0.0018
0.0,73.6963,105.2961,0.0,0.0,244.5122,383.71540000000005,3.7786,30.8515,4.7722,0.0,63.499,1321.2311999999997,0.0,115.5777,0.0,263.3623,2711.0995,0.0,1.5799,41.8085,205.88539999999998,0.0,29.992399999999996,21.5732,0.0,0.0,0.7581,0.0,0.0,0.0,0.0,97.37189999999997,0.0,0.0,0.0,0.0,29.3244,155.1624,0.0,399.86449999999996,0.0,0.0,14.095600000000001,14.3748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3569,0.0,0.0,0.0,0.1906,0.0,0.0,0.0,0.1133,4.3949,45.7955,0.0,29.957700000000003,32.9599,37.4224,21.9466,102.9206,522.5776999999999,0.0,0.0,0.0018
0.0,79.3519,108.371,0.0,0.0,239.98970000000003,335.6029,3.3048,38.0969,4.8336,0.0,60.1593,1573.508,0.0,134.0823,0.0,255.8505,2927.0059999999994,0.0,3.5203,97.6931,455.58970000000005,0.0,34.8396,25.059599999999996,0.0,0.0,0.7667,0.0,0.0,0.0,0.0,140.21490000000003,0.0,0.0,0.0,0.0,62.4118,158.9992,0.0,487.448,0.0,0.0,14.2519,14.7302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2485,0.0,0.0,0.0,0.1475,0.0,0.0,0.0,0.1582,4.7848,42.8711,0.0,34.2354,31.750499999999995,35.4541,20.6857,91.94340000000001,495.0919,0.0,0.0,0.0017
0.0,79.3519,108.371,0.0,0.0,239.98970000000003,335.6029,3.3048,38.0969,4.8336,0.0,60.1593,1573.508,0.0,134.0823,0.0,255.8505,2927.0059999999994,0.0,3.5203,97.6931,455.58970000000005,0.0,34.8396,25.059599999999996,0.0,0.0,0.7667,0.0,0.0,0.0,0.0,140.21490000000003,0.0,0.0,0.0,0.0,62.4118,158.9992,0.0,487.448,0.0,0.0,14.2519,14.7302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2485,0.0,0.0,0.0,0.1475,0.0,0.0,0.0,0.1582,4.7848,42.8711,0.0,34.2354,31.750499999999995,35.4541,20.6857,91.94340000000001,495.0919,0.0,0.0,0.0017
0.0,79.3519,108.371,0.0,0.0,239.98970000000003,335.6029,3.3048,38.0969,4.8336,0.0,60.1593,1573.508,0.0,134.0823,0.0,255.8505,2927.0059999999994,0.0,3.5203,97.6931,455.58970000000005,0.0,34.8396,25.059599999999996,0.0,0.0,0.7667,0.0,0.0,0.0,0.0,140.21490000000003,0.0,0.0,0.0,0.0,62.4118,158.9992,0.0,487.448,0.0,0.0,14.2519,14.7302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2485,0.0,0.0,0.0,0.1475,0.0,0.0,0.0,0.1582,4.7848,42.8711,0.0,34.2354,31.750499999999995,35.4541,20.6857,91.94340000000001,495.0919,0.0,0.0,0.0017
0.0,79.3519,108.371,0.0,0.0,239.98970000000003,335.6029,3.3048,38.0969,4.8336,0.0,60.1593,1573.508,0.0,134.0823,0.0,255.8505,2927.0059999999994,0.0,3.5203,97.6931,455.58970000000005,0.0,34.8396,25.059599999999996,0.0,0.0,0.7667,0.0,0.0,0.0,0.0,140.21490000000003,0.0,0.0,0.0,0.0,62.4118,158.9992,0.0,487.448,0.0,0.0,14.2519,14.7302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2485,0.0,0.0,0.0,0.1475,0.0,0.0,0.0,0.1582,4.7848,42.8711,0.0,34.2354,31.750499999999995,35.4541,20.6857,91.94340000000001,495.0919,0.0,0.0,0.0017
0.0,79.3519,108.371,0.0,0.0,239.98970000000003,335.6029,3.3048,38.0969,4.8336,0.0,60.1593,1573.508,0.0,134.0823,0.0,255.8505,2927.0059999999994,0.0,3.5203,97.6931,455.58970000000005,0.0,34.8396,25.059599999999996,0.0,0.0,0.7667,0.0,0.0,0.0,0.0,140.21490000000003,0.0,0.0,0.0,0.0,62.4118,158.9992,0.0,487.448,0.0,0.0,14.2519,14.7302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2485,0.0,0.0,0.0,0.1475,0.0,0.0,0.0,0.1582,4.7848,42.8711,0.0,34.2354,31.750499999999995,35.4541,20.6857,91.94340000000001,495.0919,0.0,0.0,0.0017
0.0,79.3519,108.371,0.0,0.0,239.98970000000003,335.6029,3.3048,38.0969,4.8336,0.0,60.1593,1573.508,0.0,134.0823,0.0,255.8505,2927.0059999999994,0.0,3.5203,97.6931,455.58970000000005,0.0,34.8396,25.059599999999996,0.0,0.0,0.7667,0.0,0.0,0.0,0.0,140.21490000000003,0.0,0.0,0.0,0.0,62.4118,158.9992,0.0,487.448,0.0,0.0,14.2519,14.7302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2485,0.0,0.0,0.0,0.1475,0.0,0.0,0.0,0.1582,4.7848,42.8711,0.0,34.2354,31.750499999999995,35.4541,20.6857,91.94340000000001,495.0919,0.0,0.0,0.0017
0.0,79.3519,108.371,0.0,0.0,239.98970000000003,335.6029,3.3048,38.0969,4.8336,0.0,60.1593,1573.508,0.0,134.0823,0.0,255.8505,2927.0059999999994,0.0,3.5203,97.6931,455.58970000000005,0.0,34.8396,25.059599999999996,0.0,0.0,0.7667,0.0,0.0,0.0,0.0,140.21490000000003,0.0,0.0,0.0,0.0,62.4118,158.9992,0.0,487.448,0.0,0.0,14.2519,14.7302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2485,0.0,0.0,0.0,0.1475,0.0,0.0,0.0,0.1582,4.7848,42.8711,0.0,34.2354,31.750499999999995,35.4541,20.6857,91.94340000000001,495.0919,0.0,0.0,0.0017
