name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
SPOKANE_NG,ngcc,bus_74235,61.8,25.91051229662,18.54,3,185.39999999999998,4326.0,61.8,4,4
TWINFALLS_NG,ngcc,bus_74104,10.2,11.793027514204,3.06,3,30.599999999999998,714.0,10.2,4,4
MOUNTAINHOME_NG,ngcc,bus_74104,663.7,22.796127731189998,199.11,3,1991.1000000000001,46459.0,663.7,4,4
BATTLEMOUNTAIN_C,coal,bus_74104,409.6,14.124027471600002,122.88,4,1228.8000000000002,28672.0,135.168,12,12
BUTTE_NG,ngcc,bus_74132,54.9,19.422132590325997,16.47,3,164.7,3843.0,54.9,4,4
ANACONDA_NG,ngcc,bus_74132,203.1,26.1506937703,60.92999999999999,3,609.3,14217.0,203.1,4,4
BILLINGS_C,coal,bus_74132,1.5,7.68062455973,0.4499999999999999,4,4.5,105.0,0.495,12,12
NEWPLYMOUTH_NG,ngcc,bus_74001,318.5,14.599944808754,95.55,3,955.5,22295.0,318.5,4,4
GRANTSVILLE_NG,ngcc,bus_50007,78.0,14.718189809114,23.4,3,234.0,5460.0,78.0,4,4
REXBURG_NG,ngcc,bus_70000,5.6,10.803381702818,1.68,3,16.799999999999997,392.0,5.6,4,4
RATHDRUM_NG,ngcc,bus_10677,467.9,17.435879202476997,140.36999999999998,3,1403.6999999999998,32753.0,467.9,4,4
NEWMANLAKE_NG,ngcc,bus_10677,24.6,19.007265365724,7.38,3,73.80000000000001,1722.0,24.6,4,4
COLSTRIP_C_27,coal,bus_77001,46.1,18.2486899346,13.83,4,138.3,3227.0,15.213000000000001,12,12
ALGODONES_NG,ngcc,bus_53000,45.0,0.0,13.5,3,135.0,3150.0,45.0,4,4
ALBUQUERQUE_NG,ngcc,bus_53000,150.0,24.5867848822,45.0,3,450.0,10500.0,150.0,4,4
LAMESA_NG,ngcc,bus_80007,464.0,16.989350318232,139.2,3,1392.0,32480.0,464.0,4,4
BELEN_NG_28,ngcc,bus_80007,84.6,21.81842008948,25.38,3,253.79999999999998,5922.0,84.6,4,4
LORDSBURG_NG,ngcc,bus_80007,274.0,22.1322594689,82.2,3,822.0,19180.0,274.0,4,4
DEMING_NG,ngcc,bus_80007,650.0,15.593640156662,195.0,3,1950.0,45500.0,650.0,4,4
VADO_NG,ngcc,bus_80007,4.7,12.769870620466,1.41,3,14.100000000000001,329.0,4.7,4,4
ALBUQUERQUE_NG_29,ngcc,bus_80007,160.6,27.93053446202,48.18,3,481.79999999999995,11242.0,160.6,4,4
SUNLANDPARK_NG,ngcc,bus_80007,398.3,23.93760701522,119.49,3,1194.9,27881.0,398.3,4,4
ELPASO_NG,ngcc,bus_80007,1743.5,22.125335516076998,523.05,3,5230.5,122045.0,1743.5,4,4
LASVEGAS_NG_30,ngcc,bus_30221,94.8,15.063378849351999,28.44,3,284.4,6636.0,94.8,4,4
ELY_C,coal,bus_50024,1500.0,0.0,450.0,4,4500.0,105000.0,495.0,12,12
CLATSKANIE_NG,ngcc,bus_10093,1330.1999999999998,13.687593795549,399.06,3,3990.5999999999995,93113.99999999999,1330.1999999999998,4,4
CORVALLIS_NG,ngcc,bus_10093,6.5,8.094987249842,1.95,3,19.5,455.0,6.5,4,4
LONGVIEW_NG,ngcc,bus_10093,319.0,15.832614336241999,95.7,3,957.0,22330.0,319.0,4,4
VANCOUVER_NG,ngcc,bus_10093,248.0,15.287754666587999,74.39999999999999,3,744.0,17360.0,248.0,4,4
LAVERKIN_NG,ngcc,bus_50000,16.0,23.769695431459997,4.8,3,48.0,1120.0,16.0,4,4
BELLINGHAM_NG,ngcc,bus_10228,176.4,18.571958925797997,52.92,3,529.2,12348.0,176.4,4,4
BLAINE_NG,ngcc,bus_10228,454.7,24.626030189785997,136.41,3,1364.1,31829.0,454.7,4,4
BURLINGTON_NG,ngcc,bus_10228,376.0,3.6453929726379997,112.8,3,1128.0,26320.0,376.0,4,4
SUMAS_NG,ngcc,bus_10228,125.5,17.124833229284,37.65,3,376.5,8785.0,125.5,4,4
SEATTLE_NG,ngcc,bus_10228,15.0,11.868075154025998,4.5,3,45.0,1050.0,15.0,4,4
CHEHALIS_NG,ngcc,bus_10025,698.0,15.566557641122,209.4,3,2094.0,48860.0,698.0,4,4
TACOMA_NG,ngcc,bus_10022,496.1,23.176561804581,148.83,3,1488.3000000000002,34727.0,496.1,4,4
ELMA_NG,ngcc,bus_10022,697.8,15.26341404613,209.34,3,2093.3999999999996,48846.0,697.8,4,4
bus_10022_WIND,wind,bus_10022,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_10025_WIND,wind,bus_10025,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_10600_WIND,wind,bus_10600,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_10677_WIND,wind,bus_10677,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_13420_WIND,wind,bus_13420,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_13446_WIND,wind,bus_13446,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_13499_WIND,wind,bus_13499,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_20026_WIND,wind,bus_20026,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_20136_WIND,wind,bus_20136,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_21121_WIND,wind,bus_21121,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_23054_WIND,wind,bus_23054,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_23060_WIND,wind,bus_23060,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_25160_WIND,wind,bus_25160,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_25289_WIND,wind,bus_25289,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_25439_WIND,wind,bus_25439,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_25598_WIND,wind,bus_25598,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_25714_WIND,wind,bus_25714,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_25867_WIND,wind,bus_25867,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_28365_WIND,wind,bus_28365,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_28667_WIND,wind,bus_28667,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
